AGE;MODEL;DEALERSHIP;CUSTOMER_TYPE;USER_CUSTOMISED;COUNTRY;GEO_TYPE;FAULT_TYPE;OBJECT_COUNT;EVENT_COUNT;EVENT_RATE;AGGREGATION_LEVEL;SUBSET_TYPE;SIGNIFICANCE
In Warranty;*;*;Private;*;Austria;*;Turbo Charger;42454;383;9,021529185;4;singleton;0
*;Eleganz;*;*;*;Spain;Village;Gearbox;161014;380;2,360043226;4;maximal;0
*;Ultima;*;*;*;France;Suburban;Turbo Charger;176390;380;2,154317138;4;singleton;0
*;*;*;*;N;Belgium;Very Rural;Turbo Charger;100763;380;3,771225549;4;singleton;0
Out of Warranty;*;Dodgy Dealer;*;*;*;Very Rural;Gearbox;146115;379;2,593847312;4;maximal;0
*;Opal;*;*;*;United Kingdom;Suburban;Turbo Charger;213825;379;1,772477493;4;maximal;0
*;Ultima;Re-Import;*;Unknown;*;*;Break Fluid;198280;378;1,906394997;4;singleton;0
In Warranty;Lamura;*;*;*;*;Suburban;Turbo Charger;39287;376;9,570595871;4;maximal;0
In Warranty;*;*;Private;*;*;Rural;Turbo Charger;37511;376;10,02372637;4;singleton;0
In Warranty;*;*;Other;*;Spain;*;Gearbox;29076;375;12,89723483;4;minimal;0
*;Lamura;Branch;*;*;*;Super Rural;Turbo Charger;138763;375;2,7024495;4;maximal;0
In Warranty;*;*;Other;*;Switzerland;*;Gearbox;34779;374;10,75361569;4;minimal;1
*;Opal;Re-Import;*;*;United Kingdom;*;Turbo Charger;179801;374;2,080077419;4;maximal;0
*;*;*;Other;*;France;Urban;Gearbox;137475;373;2,713220586;4;singleton;1
*;Ultima;Re-Import;Private;*;*;*;Break Fluid;190108;372;1,95678246;4;singleton;0
*;Opal;*;*;*;Portugal;Village;Turbo Charger;160757;369;2,295389936;4;maximal;0
*;Opal;*;*;*;Austria;Super Rural;Turbo Charger;97417;369;3,787839905;4;maximal;0
*;*;Dodgy Dealer;*;*;Belgium;Urban;Gearbox;122291;369;3,01739294;4;maximal;0
*;Opal;Re-Import;*;*;*;Super Rural;Turbo Charger;120885;368;3,044215577;4;maximal;0
In Warranty;*;*;Private;*;Portugal;*;Turbo Charger;45921;367;7,991986237;4;singleton;1
In Warranty;*;Re-Import;*;*;*;Urban;Turbo Charger;29026;367;12,64383656;4;singleton;1
In Warranty;Opal;*;*;N;*;*;Air Conditioning;222677;366;1,643636298;4;minimal;1
In Warranty;*;*;*;N;Switzerland;*;Turbo Charger;64520;366;5,67265964;4;singleton;0
*;*;Re-Import;Corporate;*;Belgium;*;Turbo Charger;153170;363;2,36991578;4;singleton;0
*;Ultima;Branch;*;*;*;Rural;Turbo Charger;131985;363;2,750312536;4;singleton;0
*;*;*;Private;*;Belgium;Village;Turbo Charger;134533;363;2,698222741;4;singleton;0
*;Lamura;Re-Import;*;*;Germany;*;Turbo Charger;170721;362;2,120418695;4;maximal;0
*;*;Re-Import;Private;Unknown;*;*;Turbo Charger;157230;362;2,302359601;4;maximal;0
In Warranty;*;*;*;N;*;Urban;Spark Plugs;109183;362;3,31553447;4;singleton;1
In Warranty;*;Re-Import;*;N;*;*;Exhaust;129389;361;2,790036247;4;minimal;1
*;Opal;*;*;*;Spain;Rural;Turbo Charger;128217;360;2,807740003;4;maximal;0
*;Opal;*;*;*;Switzerland;Rural;Turbo Charger;148399;359;2,419153768;4;maximal;0
*;Opal;*;*;*;Holland;Rural;Turbo Charger;137026;359;2,619940741;4;maximal;0
In Warranty;Opal;*;Private;*;*;*;Exhaust;182962;358;1,95669046;4;maximal;0
*;*;*;Private;*;Belgium;Very Rural;Turbo Charger;81130;358;4,412671022;4;singleton;1
*;*;*;*;Unknown;Switzerland;Suburban;Turbo Charger;208664;358;1,715676878;4;maximal;0
In Warranty;Hopper;Franchise;*;*;*;*;Break Fluid;26174;357;13,63948957;4;maximal;0
In Warranty;*;Franchise;Other;*;*;*;Break Fluid;188471;357;1,894190618;4;maximal;0
*;*;Branch;*;*;Belgium;Rural;Turbo Charger;114498;357;3,117958392;4;singleton;1
*;Ultima;*;*;*;Austria;Suburban;Turbo Charger;158659;355;2,237503073;4;singleton;0
In Warranty;*;Branch;Corporate;*;*;*;Turbo Charger;53465;354;6,621154026;4;singleton;1
*;*;*;Other;*;Austria;Village;Gearbox;149614;354;2,366088735;4;singleton;0
In Warranty;*;*;*;N;Holland;*;Turbo Charger;60560;353;5,828929987;4;singleton;0
In Warranty;Hopper;*;*;Y;*;*;Break Fluid;25548;352;13,77798654;4;maximal;0
In Warranty;*;Franchise;*;Y;*;*;Break Fluid;25123;352;14,01106556;4;singleton;1
In Warranty;*;*;Other;Y;*;*;Break Fluid;25548;352;13,77798654;4;maximal;0
*;Lamura;Re-Import;*;*;Holland;*;Turbo Charger;188331;352;1,869049705;4;maximal;0
In Warranty;*;Branch;*;Y;*;*;Turbo Charger;40908;350;8,55578371;4;maximal;0
*;Eleganz;*;*;*;France;Urban;Gearbox;129298;350;2,706925088;4;maximal;0
*;*;*;Corporate;*;Belgium;Suburban;Turbo Charger;182142;350;1,92157767;4;singleton;0
In Warranty;*;Branch;*;*;Holland;*;Turbo Charger;41276;349;8,455276674;4;singleton;0
*;*;Branch;*;*;Austria;Very Rural;Turbo Charger;149281;349;2,337872871;4;singleton;0
*;*;*;Private;*;Portugal;Rural;Turbo Charger;154767;348;2,248541356;4;singleton;0
In Warranty;Eleganz;*;*;*;Holland;*;Gearbox;23854;347;14,54682653;4;maximal;0
In Warranty;*;*;*;N;Holland;*;Gearbox;60560;347;5,72985469;4;maximal;0
In Warranty;*;*;Private;*;France;*;Turbo Charger;36569;345;9,434220241;4;singleton;0
In Warranty;*;Dodgy Dealer;*;*;*;Urban;Gearbox;24502;345;14,08048323;4;maximal;0
*;*;Branch;*;*;Austria;Super Rural;Turbo Charger;94312;345;3,658071083;4;singleton;0
*;Opal;*;*;*;Switzerland;Village;Turbo Charger;164001;343;2,091450662;4;maximal;0
In Warranty;*;*;*;N;Portugal;*;Turbo Charger;73459;342;4,655658258;4;singleton;0
*;Ultima;*;*;Y;*;Suburban;Turbo Charger;110947;341;3,073539618;4;maximal;0
*;*;*;Private;Y;*;Suburban;Turbo Charger;110812;341;3,077284049;4;maximal;0
*;Opal;*;*;*;Austria;Very Rural;Turbo Charger;145309;341;2,34672319;4;maximal;0
Out of Warranty;*;Franchise;*;Y;*;*;Break Fluid;175976;340;1,932081647;4;singleton;1
*;Ultima;*;*;*;Belgium;Urban;Turbo Charger;104137;339;3,255327117;4;singleton;0
*;*;Re-Import;*;*;Belgium;Urban;Turbo Charger;127666;339;2,655366347;4;singleton;0
*;*;*;*;Unknown;France;Suburban;Turbo Charger;199778;339;1,696883541;4;maximal;0
*;*;*;Other;*;Holland;Village;Gearbox;154340;338;2,189970196;4;singleton;0
In Warranty;Opal;Re-Import;*;*;*;*;Exhaust;81324;337;4,143918155;4;maximal;0
In Warranty;*;Franchise;*;N;*;*;Exhaust;176552;335;1,897457973;4;minimal;1
*;*;*;Private;*;Austria;Rural;Turbo Charger;153879;335;2,177035203;4;singleton;0
*;*;*;Private;*;France;Village;Turbo Charger;137601;334;2,427307941;4;singleton;0
In Warranty;*;*;*;N;Austria;*;Turbo Charger;67122;333;4,961115581;4;singleton;0
*;Hopper;*;Other;*;*;Urban;Gearbox;101271;333;3,28820689;4;minimal;0
Out of Warranty;*;*;*;*;Belgium;Very Rural;Turbo Charger;100066;333;3,32780365;4;singleton;1
*;*;Branch;*;*;Austria;Village;Turbo Charger;182902;333;1,820647123;4;singleton;0
*;Hopper;*;*;Y;*;Suburban;Gearbox;126601;332;2,622412145;4;maximal;0
*;*;*;Other;Y;*;Suburban;Gearbox;126601;332;2,622412145;4;maximal;0
*;*;*;*;N;Holland;Super Rural;Turbo Charger;92651;332;3,583339629;4;singleton;0
In Warranty;Eleganz;*;*;*;Switzerland;*;Gearbox;27219;331;12,16062309;4;maximal;0
In Warranty;*;*;*;N;Switzerland;*;Gearbox;64520;331;5,130192188;4;maximal;0
In Warranty;*;Branch;*;*;*;Very Rural;Turbo Charger;38433;331;8,612390394;4;singleton;0
Out of Warranty;Hopper;*;*;Y;*;*;Break Fluid;169318;330;1,948995381;4;maximal;0
Out of Warranty;*;Re-Import;*;Unknown;*;*;Turbo Charger;179323;330;1,840254736;4;maximal;0
Out of Warranty;*;*;Other;Y;*;*;Break Fluid;169318;330;1,948995381;4;maximal;0
*;*;*;Private;*;United Kingdom;Village;Turbo Charger;179897;330;1,834383008;4;singleton;0
In Warranty;Lamura;*;Corporate;*;*;*;Turbo Charger;38220;329;8,608058608;4;maximal;0
In Warranty;*;*;*;Unknown;*;Suburban;Break Fluid;83052;329;3,961373597;4;singleton;1
*;Ultima;*;*;Unknown;*;Rural;Turbo Charger;126945;329;2,591673559;4;minimal;0
In Warranty;*;Branch;*;*;Germany;*;Turbo Charger;28329;328;11,57824138;4;singleton;1
*;*;Branch;*;*;Germany;Super Urban;Turbo Charger;162097;328;2,023479768;4;singleton;0
In Warranty;Eleganz;*;*;*;Spain;*;Gearbox;22248;327;14,69795038;4;maximal;0
In Warranty;*;*;*;N;Spain;*;Gearbox;59843;327;5,464298247;4;maximal;0
In Warranty;*;*;*;Unknown;*;Suburban;Turbo Charger;83052;327;3,937292299;4;maximal;0
In Warranty;*;*;*;*;France;Suburban;Gearbox;53076;327;6,160976713;4;maximal;0
*;Eleganz;*;*;*;Austria;Village;Gearbox;139053;327;2,351621324;4;maximal;0
In Warranty;Opal;*;*;*;*;Very Rural;Turbo Charger;37876;323;8,527827648;4;maximal;0
In Warranty;Lamura;Re-Import;*;*;*;*;Turbo Charger;33784;322;9,531139001;4;maximal;0
In Warranty;*;Franchise;*;*;Belgium;*;Gearbox;22955;320;13,94031801;4;maximal;0
*;*;*;Private;Unknown;*;Rural;Turbo Charger;120658;320;2,652124186;4;maximal;0
*;*;Re-Import;Corporate;*;Germany;*;Turbo Charger;165027;319;1,933017021;4;singleton;1
*;*;*;Private;*;France;Urban;Turbo Charger;120651;319;2,643989689;4;singleton;0
Out of Warranty;Hopper;*;*;Y;*;*;Gearbox;169318;318;1,878122822;4;maximal;0
Out of Warranty;*;*;Other;Y;*;*;Gearbox;169318;318;1,878122822;4;maximal;0
*;Ultima;*;*;Y;*;Suburban;Break Fluid;110947;318;2,866233427;4;maximal;0
*;*;*;Private;Y;*;Suburban;Break Fluid;110812;318;2,869725301;4;maximal;0
In Warranty;*;Branch;*;*;Switzerland;*;Turbo Charger;37911;317;8,361689219;4;singleton;0
In Warranty;*;*;*;N;*;Rural;Turbo Charger;48509;316;6,514255087;4;singleton;0
*;*;Branch;*;*;Belgium;Village;Turbo Charger;119532;316;2,643643543;4;singleton;0
In Warranty;*;Franchise;*;*;Germany;*;Gearbox;19683;315;16,00365798;4;maximal;0
*;*;*;*;N;Spain;Super Rural;Turbo Charger;113550;315;2,774108322;4;singleton;0
*;Opal;*;*;N;*;Super Urban;Turbo Charger;130957;314;2,397733607;4;minimal;0
*;*;Franchise;*;Y;*;Suburban;Gearbox;126210;314;2,487916964;4;maximal;0
Out of Warranty;*;Franchise;*;Y;*;*;Gearbox;175976;313;1,778651634;4;maximal;0
In Warranty;*;Branch;*;*;*;Rural;Turbo Charger;31388;312;9,940104499;4;singleton;1
*;*;*;*;Unknown;Belgium;Urban;Turbo Charger;113373;312;2,751977984;4;maximal;0
Out of Warranty;*;*;*;*;Holland;Super Rural;Turbo Charger;91124;311;3,412931829;4;singleton;0
*;Lamura;Re-Import;*;*;Spain;*;Turbo Charger;186653;310;1,660835883;4;maximal;0
*;Eleganz;*;*;*;Holland;Village;Gearbox;140336;310;2,208984152;4;maximal;0
*;*;Branch;*;Unknown;*;Rural;Turbo Charger;116406;309;2,654502345;4;maximal;0
Out of Warranty;Ultima;*;*;Y;*;*;Turbo Charger;171958;308;1,791135045;4;maximal;0
Out of Warranty;*;*;Private;Y;*;*;Turbo Charger;171728;308;1,793533961;4;maximal;0
*;Eleganz;Re-Import;*;*;*;Suburban;Gearbox;169798;308;1,81392007;4;maximal;0
*;*;Re-Import;Other;*;*;Suburban;Gearbox;183747;308;1,676217843;4;maximal;0
*;*;*;Private;*;United Kingdom;Rural;Turbo Charger;154171;308;1,997781684;4;singleton;0
*;*;*;Private;*;Germany;Super Urban;Turbo Charger;113712;308;2,708597158;4;singleton;0
*;Opal;*;*;*;Belgium;Very Rural;Turbo Charger;67591;306;4,527229957;4;maximal;0
*;*;*;Private;*;Holland;Super Rural;Turbo Charger;82673;305;3,689233486;4;singleton;0
Out of Warranty;*;*;*;*;Spain;Super Rural;Turbo Charger;114369;304;2,658062937;4;singleton;0
*;*;*;*;Unknown;Austria;Suburban;Turbo Charger;177395;303;1,708052651;4;maximal;0
*;*;*;*;N;Portugal;Very Rural;Turbo Charger;169170;302;1,785186499;4;singleton;0
In Warranty;Ultima;*;*;Unknown;*;*;Break Pad;124355;301;2,420489727;4;minimal;1
In Warranty;*;*;Private;*;United Kingdom;*;Turbo Charger;34667;301;8,682608821;4;singleton;0
*;*;*;Other;*;Switzerland;Rural;Gearbox;107376;300;2,793920429;4;singleton;0
In Warranty;Hopper;*;Other;*;*;*;Engine Control;58864;299;5,0795053;4;minimal;1
In Warranty;*;Branch;*;Unknown;*;*;Break Pad;103529;299;2,888079668;4;maximal;0
In Warranty;*;*;*;N;France;*;Turbo Charger;59489;299;5,026139286;4;singleton;0
In Warranty;*;*;Other;*;*;Urban;Spark Plugs;69186;299;4,321683578;4;singleton;1
*;*;Branch;*;*;Belgium;Very Rural;Turbo Charger;69256;299;4,317315467;4;singleton;1
In Warranty;Opal;*;*;*;Belgium;*;Turbo Charger;22198;298;13,42463285;4;maximal;0
In Warranty;*;Branch;*;*;Austria;*;Turbo Charger;34127;298;8,732088962;4;singleton;0
*;*;Re-Import;Private;Unknown;*;*;Break Fluid;157230;298;1,895312599;4;maximal;0
*;*;Branch;*;N;*;Super Urban;Turbo Charger;164746;298;1,808845131;4;singleton;0
*;Opal;*;*;*;Germany;Super Urban;Turbo Charger;119137;297;2,492928309;4;maximal;0
In Warranty;Opal;*;*;*;Spain;*;Turbo Charger;26878;296;11,01272416;4;maximal;0
In Warranty;*;Re-Import;Corporate;*;*;*;Turbo Charger;34434;296;8,596154963;4;singleton;0
In Warranty;*;Franchise;*;*;Portugal;*;Gearbox;28576;296;10,35834267;4;maximal;0
*;Ultima;*;*;*;Portugal;Suburban;Turbo Charger;157070;296;1,884510091;4;singleton;0
*;*;*;Private;*;Spain;Super Rural;Turbo Charger;102502;296;2,887748532;4;singleton;0
*;*;*;Private;*;Germany;Suburban;Turbo Charger;118753;296;2,492568609;4;singleton;0
*;*;*;Private;*;United Kingdom;Very Rural;Turbo Charger;154584;295;1,908347565;4;singleton;0
In Warranty;Eleganz;Franchise;*;*;*;*;Exhaust;162297;293;1,8053322;4;maximal;0
In Warranty;Opal;*;*;*;Germany;*;Turbo Charger;18528;293;15,81390328;4;maximal;0
In Warranty;Opal;*;Corporate;*;*;*;Turbo Charger;39710;292;7,353311508;4;maximal;0
*;Ultima;Branch;*;Y;*;*;Break Pad;174474;292;1,673601797;4;redundant;0
*;*;Branch;Private;Y;*;*;Break Pad;174320;292;1,675080312;4;redundant;0
*;*;Branch;*;*;United Kingdom;Village;Turbo Charger;164487;291;1,769136771;4;singleton;0
In Warranty;*;Franchise;*;*;France;*;Gearbox;24509;290;11,8323881;4;maximal;0
*;*;Re-Import;Corporate;*;Portugal;*;Turbo Charger;167136;290;1,735113919;4;singleton;0
In Warranty;*;*;*;*;Austria;Suburban;Gearbox;47726;290;6,076352512;4;maximal;0
In Warranty;*;*;Private;Unknown;*;*;Break Pad;111926;288;2,573128674;4;maximal;0
In Warranty;*;*;Other;*;United Kingdom;*;Gearbox;27542;288;10,45675695;4;minimal;1
*;Eleganz;*;*;*;Switzerland;Rural;Gearbox;103825;288;2,773898387;4;maximal;0
*;*;Branch;*;*;Portugal;Rural;Turbo Charger;126986;288;2,267966547;4;singleton;0
Out of Warranty;*;*;*;*;Portugal;Very Rural;Turbo Charger;173374;287;1,655380853;4;singleton;1
In Warranty;Opal;*;*;*;*;Village;Turbo Charger;29136;286;9,816035146;4;maximal;0
*;Opal;*;*;*;Belgium;Rural;Turbo Charger;90746;286;3,151654067;4;maximal;0
In Warranty;*;*;*;N;United Kingdom;*;Turbo Charger;57142;284;4,970074551;4;singleton;0
*;*;*;Private;*;Portugal;Very Rural;Turbo Charger;139123;284;2,041359085;4;singleton;0
Out of Warranty;Ultima;*;*;*;*;Rural;Turbo Charger;130944;283;2,161229228;4;singleton;0
In Warranty;Eleganz;*;*;*;*;Urban;Spark Plugs;58348;283;4,85020909;4;maximal;0
In Warranty;*;*;Other;*;*;Suburban;Break Fluid;169406;283;1,670542956;4;singleton;1
*;Ultima;Re-Import;*;*;*;Suburban;Turbo Charger;131561;283;2,151093409;4;singleton;0
*;*;Branch;*;*;Austria;Rural;Turbo Charger;130124;283;2,174848606;4;singleton;0
In Warranty;Hopper;*;*;*;*;Suburban;Break Fluid;35148;282;8,023216115;4;maximal;0
*;*;Franchise;*;*;Switzerland;Village;Gearbox;123532;280;2,266619176;4;maximal;0
*;*;*;Private;N;*;Super Urban;Turbo Charger;111597;279;2,500067206;4;singleton;0
*;Opal;*;Corporate;*;Germany;*;Turbo Charger;137020;278;2,02890089;4;maximal;0
In Warranty;*;Franchise;*;*;*;Village;Gearbox;27008;278;10,29324645;4;maximal;0
In Warranty;*;Franchise;*;*;Austria;*;Gearbox;23853;275;11,52894814;4;maximal;0
*;*;Re-Import;Corporate;*;Switzerland;*;Turbo Charger;165937;275;1,657255464;4;singleton;0
*;*;Branch;*;Y;*;Suburban;Turbo Charger;89330;275;3,078473077;4;maximal;0
*;*;Re-Import;Corporate;*;Spain;*;Turbo Charger;158071;272;1,720745741;4;singleton;0
*;Opal;*;Corporate;*;Spain;*;Turbo Charger;145672;271;1,860343786;4;maximal;0
In Warranty;*;*;*;*;Portugal;Suburban;Gearbox;53727;271;5,044018836;4;maximal;0
*;*;Franchise;*;*;Portugal;Village;Gearbox;132103;271;2,051429566;4;maximal;0
In Warranty;*;Branch;*;*;Portugal;*;Turbo Charger;34984;268;7,660644866;4;singleton;1
In Warranty;*;*;Corporate;*;*;Suburban;Turbo Charger;39984;268;6,702681072;4;singleton;0
*;Hopper;*;*;Y;*;Suburban;Engine Control;126601;268;2,116886912;4;maximal;0
*;*;Franchise;*;Y;*;Suburban;Engine Control;126210;268;2,123445052;4;singleton;0
*;*;*;Other;Y;*;Suburban;Engine Control;126601;268;2,116886912;4;maximal;0
*;*;Branch;*;Y;*;Suburban;Break Fluid;89330;267;2,988917497;4;maximal;0
*;*;*;Other;*;France;Village;Gearbox;106151;267;2,51528483;4;singleton;0
*;*;Branch;*;*;United Kingdom;Rural;Turbo Charger;137111;264;1,925447265;4;singleton;0
*;*;*;*;N;Switzerland;Super Rural;Turbo Charger;82763;264;3,189831205;4;singleton;0
*;*;*;Other;*;Austria;Urban;Gearbox;101283;263;2,596684537;4;singleton;0
*;*;Re-Import;Corporate;*;Holland;*;Turbo Charger;143967;262;1,819861496;4;singleton;0
*;*;*;Corporate;N;*;Super Rural;Turbo Charger;102248;262;2,562397309;4;singleton;0
Out of Warranty;*;*;*;Unknown;*;Rural;Turbo Charger;130576;261;1,998835927;4;maximal;0
*;Ultima;*;Private;*;United Kingdom;*;Turbo Charger;130743;260;1,988634191;4;singleton;0
Out of Warranty;*;*;Private;*;*;Super Urban;Turbo Charger;117962;260;2,204099625;4;singleton;0
In Warranty;*;*;*;*;Holland;Suburban;Gearbox;47018;259;5,508528649;4;maximal;0
*;Opal;*;*;*;Holland;Super Rural;Turbo Charger;71854;259;3,604531411;4;maximal;0
*;*;Branch;*;*;Germany;Suburban;Turbo Charger;113372;259;2,284514695;4;singleton;0
*;*;*;Other;*;United Kingdom;Village;Gearbox;123916;259;2,090125569;4;singleton;0
In Warranty;Eleganz;*;*;*;United Kingdom;*;Gearbox;23205;258;11,11829347;4;maximal;0
In Warranty;*;*;*;N;United Kingdom;*;Gearbox;57142;258;4,515067726;4;maximal;0
*;Lamura;*;*;*;Spain;Village;Turbo Charger;116029;257;2,214963501;4;maximal;0
*;Opal;*;*;*;United Kingdom;Very Rural;Turbo Charger;131201;257;1,958826533;4;maximal;0
*;*;Branch;*;*;France;Village;Turbo Charger;114403;257;2,246444586;4;singleton;0
In Warranty;Ultima;*;*;*;*;Suburban;Break Pad;86818;254;2,925660577;4;maximal;0
In Warranty;*;*;*;*;Belgium;Suburban;Gearbox;44948;254;5,650974459;4;maximal;0
In Warranty;Opal;*;*;*;Portugal;*;Turbo Charger;26382;253;9,589871882;4;maximal;0
In Warranty;*;Franchise;*;Y;*;*;Engine Control;25123;253;10,07045337;4;singleton;1
In Warranty;Opal;*;*;*;Holland;*;Turbo Charger;26373;252;9,555226937;4;maximal;0
Out of Warranty;*;*;*;*;Switzerland;Super Rural;Turbo Charger;81177;252;3,10432758;4;singleton;0
*;*;Dodgy Dealer;*;*;Portugal;Village;Gearbox;121784;252;2,069237338;4;maximal;0
In Warranty;Hopper;Franchise;*;*;*;*;Engine Control;26174;251;9,589669137;4;maximal;0
In Warranty;Opal;*;*;*;Austria;*;Turbo Charger;26556;251;9,451724657;4;maximal;0
In Warranty;Opal;*;*;*;*;Suburban;Break Pad;75934;251;3,305502147;4;maximal;0
In Warranty;Opal;*;*;*;*;Rural;Turbo Charger;23576;251;10,64642009;4;maximal;0
*;Opal;*;*;*;Holland;Village;Turbo Charger;128916;251;1,947004251;4;maximal;0
*;Opal;*;Corporate;*;Switzerland;*;Turbo Charger;145436;250;1,718969169;4;maximal;0
Out of Warranty;Opal;*;*;*;*;Super Urban;Turbo Charger;126592;250;1,974848332;4;maximal;0
In Warranty;*;*;*;*;Spain;Suburban;Gearbox;42903;250;5,827098338;4;maximal;0
*;Eleganz;*;*;*;Austria;Urban;Gearbox;96681;250;2,585823481;4;maximal;0
*;*;*;Other;*;United Kingdom;Urban;Gearbox;114560;250;2,18226257;4;singleton;0
In Warranty;*;Branch;*;*;France;*;Turbo Charger;28971;249;8,594801698;4;singleton;0
*;Eleganz;*;*;*;France;Village;Gearbox;98655;249;2,523947088;4;maximal;0
*;*;Dodgy Dealer;*;*;United Kingdom;Suburban;Gearbox;128278;249;1,941096681;4;maximal;0
In Warranty;Opal;*;*;*;Switzerland;*;Turbo Charger;26837;248;9,240973283;4;maximal;0
In Warranty;*;Re-Import;*;N;*;*;Spark Plugs;129389;248;1,916700801;4;singleton;0
In Warranty;Hopper;*;*;*;*;Suburban;Gearbox;35148;248;7,055878002;4;maximal;0
*;Eleganz;*;*;*;United Kingdom;Village;Gearbox;117801;248;2,105245287;4;maximal;0
*;Opal;*;*;*;Spain;Super Rural;Turbo Charger;87295;248;2,840941635;4;maximal;0
Out of Warranty;Hopper;*;*;*;*;Urban;Gearbox;91756;247;2,691922054;4;maximal;0
*;Eleganz;*;*;*;United Kingdom;Urban;Gearbox;109477;247;2,256181664;4;maximal;0
*;*;*;Other;*;Portugal;Rural;Gearbox;95071;247;2,598058293;4;singleton;0
*;Eleganz;*;Other;*;*;Super Urban;Gearbox;89894;245;2,725432176;4;redundant;0
*;Opal;*;Corporate;*;*;Very Rural;Turbo Charger;99057;245;2,47332344;4;maximal;0
*;Eleganz;*;*;N;*;Super Urban;Gearbox;89894;245;2,725432176;4;redundant;0
*;*;*;Other;N;*;Super Urban;Gearbox;91360;245;2,681698774;4;maximal;0
In Warranty;*;*;*;*;Belgium;Suburban;Turbo Charger;44948;245;5,450743081;4;singleton;0
*;Hopper;Franchise;*;Unknown;*;*;Gearbox;137796;243;1,763476443;4;maximal;0
*;*;Franchise;Other;Unknown;*;*;Gearbox;137796;243;1,763476443;4;maximal;0
In Warranty;Hopper;*;*;Y;*;*;Engine Control;25548;241;9,433223736;4;maximal;0
In Warranty;*;Franchise;*;*;Switzerland;*;Gearbox;22823;241;10,55952329;4;maximal;0
In Warranty;*;*;Other;Y;*;*;Engine Control;25548;241;9,433223736;4;maximal;0
In Warranty;*;Branch;*;*;*;Very Rural;Break Pad;38433;241;6,270652824;4;singleton;1
Out of Warranty;*;*;Corporate;*;*;Super Rural;Turbo Charger;99798;241;2,414878054;4;singleton;0
*;*;Branch;Corporate;*;*;Very Rural;Turbo Charger;125944;241;1,913548879;4;singleton;1
*;*;Dodgy Dealer;*;*;Switzerland;Village;Gearbox;95144;241;2,533002607;4;maximal;0
In Warranty;Ultima;*;*;Y;*;*;Break Pad;47746;240;5,026599087;4;redundant;0
In Warranty;*;*;Private;Y;*;*;Break Pad;47706;240;5,030813734;4;redundant;0
*;*;Branch;*;*;France;Urban;Turbo Charger;107088;240;2,241147468;4;singleton;0
*;*;Branch;*;*;Holland;Super Rural;Turbo Charger;68246;240;3,516689623;4;singleton;0
*;*;*;Private;*;France;Rural;Turbo Charger;84886;240;2,827321349;4;singleton;1
In Warranty;*;Branch;*;Y;*;*;Break Pad;40908;239;5,842378019;4;maximal;0
*;Ultima;Branch;*;*;United Kingdom;*;Turbo Charger;124541;239;1,91904674;4;singleton;0
*;*;Branch;Private;*;*;Super Urban;Turbo Charger;85182;239;2,805757085;4;singleton;0
*;*;Branch;*;*;United Kingdom;Very Rural;Turbo Charger;133296;239;1,793002041;4;singleton;0
*;*;Franchise;Private;*;*;Very Rural;Turbo Charger;85989;238;2,767795881;4;singleton;0
*;Opal;*;*;*;Austria;Rural;Turbo Charger;104067;238;2,28698819;4;maximal;0
*;*;Branch;*;*;Portugal;Very Rural;Turbo Charger;113778;238;2,091792789;4;singleton;0
In Warranty;*;Franchise;*;*;Holland;*;Gearbox;20767;237;11,41233688;4;maximal;0
Out of Warranty;*;*;*;*;France;Rural;Turbo Charger;144874;237;1,635904303;4;singleton;0
In Warranty;*;Re-Import;Private;*;*;*;Exhaust;105458;236;2,237857725;4;maximal;0
*;Lamura;Re-Import;*;*;*;Rural;Turbo Charger;136135;236;1,733573291;4;maximal;0
*;Opal;*;*;*;Portugal;Very Rural;Turbo Charger;108060;236;2,183971867;4;maximal;0
*;*;*;Private;*;Switzerland;Super Rural;Turbo Charger;71674;236;3,29268633;4;singleton;0
In Warranty;*;Franchise;*;*;Spain;*;Gearbox;18780;235;12,51331203;4;maximal;0
*;Ultima;Re-Import;*;*;*;Suburban;Break Fluid;131561;235;1,786243644;4;singleton;0
*;*;*;*;N;France;Rural;Turbo Charger;141151;235;1,664883706;4;singleton;0
*;Opal;*;Corporate;*;Belgium;*;Turbo Charger;123009;234;1,902299832;4;maximal;0
*;Opal;*;*;*;United Kingdom;Village;Turbo Charger;123544;234;1,894062035;4;maximal;0
*;Opal;*;Corporate;*;Holland;*;Turbo Charger;131431;233;1,772793329;4;maximal;0
In Warranty;*;*;*;*;France;Suburban;Turbo Charger;53076;233;4,389931419;4;singleton;0
*;Eleganz;*;*;*;Portugal;Rural;Gearbox;90846;233;2,564779957;4;maximal;0
*;Opal;*;*;*;Portugal;Rural;Turbo Charger;97130;233;2,398846906;4;maximal;0
In Warranty;*;*;Private;*;*;Very Rural;Break Pad;48825;232;4,751664107;4;singleton;1
*;*;*;Other;*;Spain;Rural;Gearbox;73795;232;3,143844434;4;singleton;1
Out of Warranty;*;Branch;*;Y;*;*;Turbo Charger;133566;231;1,729482054;4;maximal;0
*;Ultima;*;Private;*;*;Very Rural;Turbo Charger;98741;231;2,339453722;4;singleton;0
*;*;*;Other;*;Holland;Urban;Gearbox;63503;231;3,637623419;4;singleton;1
In Warranty;Hopper;*;*;Y;*;*;Gearbox;25548;229;8,963519649;4;redundant;0
In Warranty;*;*;Other;Y;*;*;Gearbox;25548;229;8,963519649;4;redundant;0
