"","FAULT_TYPE","rules","support","confidence","lift","itemset","improvement","rel_improvement","FAULT_COUNT","MODEL","AGE","DEALERSHIP","CUSTOMER_TYPE","USER_CUSTOMISED","COUNTRY","GEO_TYPE","COMPRESSED","OBJECT_COUNT","FAULT_RATE","AGGREGATION_LEVEL","MIN_RANK","MAX_RANK","SIMPLE_COMBI","AVG_FAULT_RATE","PS_RATIO","LIFT","CHI_SQUARE","BINOMIAL_TEST","ZHANG","row_num","SET_SIZE","min_imp_psr","min_imp_chi","min_imp_bin","min_improvement","min_improvement_adj","max_improvement","LIST_ID","classification","rules_attributes","count_neg","COMBI","suppressed"
"2435","TurboCharger","{AGE=InWarranty,MODEL=Opal,CUSTOMER_TYPE=Private,USER_CUSTOMISED=N,COUNTRY=France}=>{FAULT_TYPE=TurboCharger}",7.879369e-06,0.01256838,8.748343,40763,0.0002354423,0.01873291,193,"Opal","InWarranty","*","Private","N","France","*",FALSE,15356,0.01256838,2,120110.5,164686.5,142398.5,1.405209514,8.79587394691033e-08,8.9441324405949,7.81735268050527e-08,36.9284789930287,0.886248246707647,5912,5,-1.14837761116634e-06,-9.9422721801131e-07,-98.81408831668,0.018733520151364,-0.180897761664215,0.902740289520209,6163,1,";10;11;13;14;15;1",0,0,FALSE
"2436","TurboCharger","{AGE=InWarranty,DEALERSHIP=VWDealer,USER_CUSTOMISED=N,COUNTRY=France}=>{FAULT_TYPE=TurboCharger}",6.695422e-06,0.01165849,8.115008,21698,0.00069307,0.05944765,164,"*","InWarranty","VWDealer","*","N","France","*",FALSE,14067,0.01165849,3,117763,164302,141032.5,1.405209514,6.86500397381351e-08,8.296620456841,6.04102708021634e-08,32.4637281474715,0.877275350090647,5913,4,-8.31408378469198e-07,-7.09770088142529e-07,-82.7257611802684,0.059447664320165,-0.136793738257513,0.895149629154376,6164,1,";11;12;14;15;1",0,0,FALSE
"2488","TurboCharger","{AGE=InWarranty,MODEL=Opal,DEALERSHIP=Re-Import,USER_CUSTOMISED=N,COUNTRY=Germany,GEO_TYPE=NormalUrban}=>{FAULT_TYPE=TurboCharger}",4.164226e-06,0.01776385,12.3647,59574,0.0009868714,0.05555505,102,"Opal","InWarranty","Re-Import","*","N","Germany","NormalUrban",FALSE,5742,0.01776385,1,130002.5,164371.5,147187,1.405209514,6.81210760364538e-08,12.6414245157182,6.27470854593489e-08,33.0912835746324,0.919340117577134,5973,6,-8.30432275267118e-07,-7.253336047217e-07,-83.6701276409111,0.0555555242810541,-0.141160208540213,0.924074116815893,6225,1,";10;11;12;14;15;16;1",0,0,FALSE
"2489","TurboCharger","{AGE=InWarranty,DEALERSHIP=Re-Import,CUSTOMER_TYPE=Private,COUNTRY=Germany,GEO_TYPE=NormalUrban}=>{FAULT_TYPE=TurboCharger}",4.858264e-06,0.01495163,10.40723,40564,0.0004690766,0.03137294,119,"*","InWarranty","Re-Import","Private","*","Germany","NormalUrban",FALSE,7959,0.01495163,2,125168,164262,144715,1.405209514,6.58120869759963e-08,10.6401428762316,5.96462139716499e-08,32.2618015701036,0.904206737228864,5974,5,-1.17052426365945e-06,-1.01275453084471e-06,-103.480765739605,0.0313731680091067,-0.167589910143869,0.897495791428761,6226,1,";11;12;13;15;16;1",0,0,FALSE
"2491","TurboCharger","{AGE=InWarranty,MODEL=Opal,CUSTOMER_TYPE=Private,USER_CUSTOMISED=N,COUNTRY=Germany,GEO_TYPE=NormalUrban}=>{FAULT_TYPE=TurboCharger}",7.838543e-06,0.0181801,12.65444,59580,0.0003936776,0.02165432,192,"Opal","InWarranty","*","Private","N","Germany","NormalUrban",FALSE,10561,0.0181801,1,130710.5,165182.5,147946.5,1.405209514,1.31490700394802e-07,12.9376436886265,1.21379642739135e-07,46.0200436317147,0.921373586533962,5976,6,-1.10484565024064e-06,-9.51021102077228e-07,-89.722523677994,0.0216544463451796,-0.177851539035727,0.925812509282127,6228,1,";10;11;13;14;15;16;1",0,0,FALSE
"2492","TurboCharger","{AGE=InWarranty,DEALERSHIP=VWDealer,USER_CUSTOMISED=N,COUNTRY=Germany,GEO_TYPE=NormalUrban}=>{FAULT_TYPE=TurboCharger}",6.654597e-06,0.01547664,10.77267,40571,0.001039194,0.06714598,163,"*","InWarranty","VWDealer","*","N","Germany","NormalUrban",FALSE,10532,0.01547664,2,126169,164821,145495,1.405209514,9.36396990978441e-08,11.0137597602403,8.51742386623156e-08,38.5503642563601,0.907562732480407,5977,5,-8.06418719109489e-07,-6.85006120282377e-07,-76.6391250713798,0.0671457112138036,-0.128007586778153,0.912853435887893,6229,1,";11;12;14;15;16;1",0,0,FALSE
"2493","TurboCharger","{AGE=InWarranty,CUSTOMER_TYPE=Private,USER_CUSTOMISED=N,COUNTRY=Germany,GEO_TYPE=NormalUrban}=>{FAULT_TYPE=TurboCharger}",1.008396e-05,0.01778642,12.38041,40572,0.0008703487,0.04893333,247,"*","InWarranty","*","Private","N","Germany","NormalUrban",FALSE,13887,0.01778642,2,130179,165313,147746,1.405209514,1.65187471292405e-07,12.6574861775381,1.52223198394696e-07,51.5329518184772,0.919748696308831,5978,5,-1.07114887934304e-06,-9.20177546421667e-07,-84.2096154912315,0.0489333997510462,-0.148537522637374,0.924170462633852,6230,1,";11;13;14;15;16;1",0,0,FALSE
"2495","TurboCharger","{AGE=InWarranty,MODEL=Opal,DEALERSHIP=Re-Import,CUSTOMER_TYPE=Private,USER_CUSTOMISED=N,COUNTRY=Germany}=>{FAULT_TYPE=TurboCharger}",4.694961e-06,0.01809029,12.59193,59585,0.0004773494,0.02638704,115,"Opal","InWarranty","Re-Import","Private","N","Germany","*",FALSE,6357,0.01809029,1,130504.5,164573.5,147539,1.405209514,7.8335802163631e-08,12.8737315110436,7.22696055131541e-08,35.5131522193005,0.920823023857818,5980,6,-1.15800054847181e-06,-1.00013113930321e-06,-100.229415090408,0.0263870838997052,-0.172883059656945,0.925444202387026,6232,1,";10;11;12;13;14;15;1",0,0,FALSE
"2497","TurboCharger","{AGE=InWarranty,DEALERSHIP=VWDealer,CUSTOMER_TYPE=Private,USER_CUSTOMISED=N,COUNTRY=Germany}=>{FAULT_TYPE=TurboCharger}",6.940377e-06,0.01749151,12.17514,40587,0.0005754412,0.03289831,170,"*","InWarranty","VWDealer","Private","N","Germany","*",FALSE,9719,0.01749151,2,129610,165005,147307.5,1.405209514,1.11644989908123e-07,12.4476171174002,1.02716550419482e-07,42.3352159234803,0.91822975623726,5983,5,-1.12469136072732e-06,-9.69684194396881e-07,-93.4073513862284,0.0328982460633759,-0.165971430034085,0.9228919630152,6235,1,";11;12;13;14;15;1",0,0,FALSE
"2542","TurboCharger","{AGE=InWarranty,MODEL=Opal,CUSTOMER_TYPE=Private,USER_CUSTOMISED=N,COUNTRY=France,GEO_TYPE=Suburban}=>{FAULT_TYPE=TurboCharger}",4.409181e-06,0.01299326,9.044089,59789,0.0003375186,0.02597643,108,"Opal","InWarranty","*","Private","N","France","Suburban",FALSE,8312,0.01299326,1,121048.5,163776.5,142412.5,1.405209514,5.1093812029912e-08,9.24649304644546,4.55835165520795e-08,28.2031720720131,0.889732467234215,6036,6,-1.18524253860553e-06,-1.02681722826428e-06,-107.539395237696,0.0259765447624383,-0.173310533822388,0.908939942708758,6291,1,";10;11;13;14;15;16;1",0,0,FALSE
"2543","TurboCharger","{AGE=InWarranty,DEALERSHIP=VWDealer,CUSTOMER_TYPE=Private,USER_CUSTOMISED=N,COUNTRY=France}=>{FAULT_TYPE=TurboCharger}",5.47065e-06,0.01270865,8.845981,40766,0.0006118753,0.04814636,134,"*","InWarranty","VWDealer","Private","N","France","*",FALSE,10544,0.01270865,2,120414,164133,142273.5,1.405209514,6.18371666947359e-08,9.04395385412968,5.50234509465631e-08,30.9847618045909,0.887336281111743,6037,5,-1.17449918394071e-06,-1.0173772938698e-06,-104.757805505118,0.0481467347043156,-0.149407442670634,0.903813780377932,6292,1,";11;12;13;14;15;1",0,0,FALSE
"2566","TurboCharger","{AGE=InWarranty,DEALERSHIP=VWDealer,USER_CUSTOMISED=N,COUNTRY=Spain,GEO_TYPE=Suburban}=>{FAULT_TYPE=TurboCharger}",4.205052e-06,0.01339054,9.320615,40909,0.001168798,0.08728541,103,"*","InWarranty","VWDealer","*","N","Spain","Suburban",FALSE,7692,0.01339054,2,121872,163759,142815.5,1.405209514,5.03989379308153e-08,9.52921245308335,4.51242338178353e-08,28.0610852291578,0.892991364725783,6060,5,-8.49659480276517e-07,-7.25056125126857e-07,-87.128404098582,0.0872855015555758,-0.104357571268298,0.911641576814677,6316,1,";11;12;14;15;16;1",0,0,FALSE
"2567","TurboCharger","{AGE=InWarranty,DEALERSHIP=VWDealer,CUSTOMER_TYPE=Private,USER_CUSTOMISED=N,COUNTRY=Spain}=>{FAULT_TYPE=TurboCharger}",9.512399e-06,0.01334938,9.291965,40910,0.001127638,0.08447124,233,"*","InWarranty","VWDealer","Private","N","Spain","*",FALSE,17454,0.01334938,2,121874,164998,143436,1.405209514,1.13617715386856e-07,9.49992144730099,1.01730380685185e-07,42.124842558424,0.893016471939526,6061,5,-1.12271863524859e-06,-9.70670364131177e-07,-93.6177247512847,0.0844713387438218,-0.107725369905739,0.898966393944887,6317,1,";11;12;13;14;15;1",0,0,FALSE
"2586","TurboCharger","{AGE=InWarranty,MODEL=Opal,CUSTOMER_TYPE=Private,USER_CUSTOMISED=N,COUNTRY=Belgium,GEO_TYPE=NormalUrban}=>{FAULT_TYPE=TurboCharger}",4.1234e-06,0.02153977,14.99297,59982,0.0002280277,0.01058636,101,"Opal","InWarranty","*","Private","N","Belgium","NormalUrban",FALSE,4689,0.02153977,1,135116.5,164676.5,149896.5,1.405209514,8.30228467079724e-08,15.3285113610468,7.76214623432894e-08,36.8058694601766,0.933480782737427,6082,6,-1.15331350392747e-06,-9.94779282473073e-07,-98.9366978495322,0.0105859997576575,-0.18926734286363,0.937383918212683,6339,1,";10;11;13;14;15;16;1",0,0,FALSE
"2588","TurboCharger","{AGE=InWarranty,CUSTOMER_TYPE=Private,USER_CUSTOMISED=N,COUNTRY=Belgium,GEO_TYPE=NormalUrban}=>{FAULT_TYPE=TurboCharger}",5.266521e-06,0.02131175,14.83425,40975,0.005003929,0.2347968,129,"*","InWarranty","*","Private","N","Belgium","NormalUrban",FALSE,6053,0.02131175,2,134882,164952,149917,1.405209514,1.04838213506869e-07,15.1662437434935,9.7949838951335e-08,41.3443282131584,0.93281895860025,6084,5,-1.13149813712857e-06,-9.74450905865028e-07,-94.3982390965504,0.234796767041655,0.106849945770027,0.936713972339203,6341,1,";11;13;14;15;16;1",0,0,FALSE
"2590","TurboCharger","{AGE=InWarranty,DEALERSHIP=VWDealer,CUSTOMER_TYPE=Private,USER_CUSTOMISED=N,COUNTRY=Belgium}=>{FAULT_TYPE=TurboCharger}",9.104141e-06,0.01597307,11.11821,40990,0.0003983478,0.02493872,223,"*","InWarranty","VWDealer","Private","N","Belgium","*",FALSE,13961,0.01597307,2,127200,165177,146188.5,1.405209514,1.32627855932873e-07,11.3670380401367,1.21029102570008e-07,45.9503526094445,0.910576476889347,6087,5,-1.10370849470257e-06,-9.51371642246354e-07,-89.7922147002643,0.0249388502022466,-0.174414495623819,0.915561880089426,6344,1,";11;12;13;14;15;1",0,0,FALSE
"2603","TurboCharger","{AGE=InWarranty,USER_CUSTOMISED=N,GEO_TYPE=SuperRural}=>{FAULT_TYPE=TurboCharger}",7.185331e-06,0.009527934,6.632013,8380,5.304263e-05,0.005567065,176,"*","InWarranty","*","*","N","*","SuperRural",FALSE,18472,0.009527934,4,110977,163958,137467.5,1.405209514,5.83644640537149e-08,6.78043658619863,4.9794243499363e-08,29.4709064493288,0.849857116260585,6102,3,-6.91028205808859e-07,-5.3025276635694e-07,-69.5396782678167,0.00556699909969986,-0.194391806521729,0.858444023646679,6359,1,";11;14;16;1",0,0,FALSE
"2606","TurboCharger","{AGE=InWarranty,USER_CUSTOMISED=N,GEO_TYPE=VeryRural}=>{FAULT_TYPE=TurboCharger}",1.571791e-05,0.007906843,5.503636,8395,0.000164951,0.0208618,385,"*","InWarranty","*","*","N","*","VeryRural",FALSE,48692,0.007906843,4,104725,164802,134763.5,1.405209514,1.02192089985934e-07,5.62680719225475,8.4197830658568e-08,38.2988824357879,0.819931874489463,6107,3,-6.47200579876639e-07,-4.95849179197735e-07,-60.7117022813576,0.0208618028712597,-0.178690271738509,0.82942167942376,6364,1,";11;14;16;1",0,0,FALSE
"2607","TurboCharger","{AGE=InWarranty,COUNTRY=Germany,GEO_TYPE=NormalUrban}=>{FAULT_TYPE=TurboCharger}",1.604452e-05,0.007155472,4.980637,8398,5.118509e-05,0.007153279,393,"*","InWarranty","*","*","*","Germany","NormalUrban",FALSE,54923,0.007155472,4,101579,164617,133098,1.405209514,9.22602014618767e-08,5.09210329755852,7.43085222158993e-08,35.9749009173709,0.801018574436087,6109,3,-6.57132468400697e-07,-5.05738487640404e-07,-63.0356837997746,0.00715326675864296,-0.192792448529499,0.785813570369642,6367,1,";11;15;16;1",0,0,FALSE
"2608","TurboCharger","{AGE=InWarranty,DEALERSHIP=Re-Import,COUNTRY=Germany}=>{FAULT_TYPE=TurboCharger}",7.226157e-06,0.01149799,8.003287,8399,0.00238285,0.2072407,177,"*","InWarranty","Re-Import","*","*","Germany","*",FALSE,15394,0.01149799,4,117385,164407,140896,1.405209514,7.29320163583723e-08,8.18240261359346,6.40590212721327e-08,33.4288456455267,0.875601626744273,6110,3,-6.76460653504201e-07,-5.1598798858417e-07,-65.5817390716188,0.207240917760409,0.0614190288413394,0.851614238662584,6368,1,";11;12;15;1",0,0,FALSE
"2609","TurboCharger","{AGE=InWarranty,MODEL=Lamura,USER_CUSTOMISED=N,COUNTRY=Germany}=>{FAULT_TYPE=TurboCharger}",4.654135e-06,0.01202532,8.37034,21597,0.000852412,0.07088479,114,"Lamura","InWarranty","*","*","N","Germany","*",FALSE,9480,0.01202532,3,118719.5,163694.5,141207,1.405209514,4.94274279167596e-08,8.55767049695623,4.36685385730848e-08,27.6037455091258,0.880871465800101,6111,4,-6.99965241945814e-07,-5.36378471283218e-07,-71.4068392080197,0.0708854317390308,-0.123703772069529,0.887841986741309,6369,1,";10;11;14;15;1",0,0,FALSE
"2610","TurboCharger","{AGE=InWarranty,MODEL=Opal,USER_CUSTOMISED=N,COUNTRY=Germany}=>{FAULT_TYPE=TurboCharger}",1.196194e-05,0.01590835,11.07316,21598,0.005165219,0.324686,293,"Opal","InWarranty","*","*","N","Germany","*",FALSE,18418,0.01590835,3,127116.5,165321.5,146219,1.405209514,1.73485696305103e-07,11.3209808512583,1.58280492001494e-07,52.5433912252319,0.910376116794268,6112,4,-7.25067654998469e-07,-6.29800198179555e-07,-64.2180199903115,0.324686092523738,0.280794191446,0.915218360169345,6370,1,";10;11;14;15;1",0,0,FALSE
"2611","TurboCharger","{AGE=InWarranty,DEALERSHIP=VWDealer,COUNTRY=Germany}=>{FAULT_TYPE=TurboCharger}",1.339084e-05,0.01167966,8.129745,8401,0.002640682,0.2260923,328,"*","InWarranty","VWDealer","*","*","Germany","*",FALSE,28083,0.01167966,4,117959,165181,141570,1.405209514,1.37583522545948e-07,8.31168582594723,1.21169425692494e-07,45.9637194044813,0.878001554433106,6113,3,-7.62474895661384e-07,-6.49010933252198e-07,-69.2257699232585,0.226092026651461,0.0921441055084202,0.85392228883375,6371,1,";11;12;15;1",0,0,FALSE
"2612","TurboCharger","{AGE=InWarranty,CUSTOMER_TYPE=Private,COUNTRY=Germany}=>{FAULT_TYPE=TurboCharger}",1.718764e-05,0.01327531,9.240413,8403,0.00366326,0.2759453,421,"*","InWarranty","*","Private","*","Germany","*",FALSE,31713,0.01327531,4,121857,165413,143635,1.405209514,2.04019013917193e-07,9.44721044637049,1.82659767651161e-07,56.4297167656888,0.892935815318557,6114,3,-1.03231733671825e-06,-8.89740977165202e-07,-79.3128505440199,0.275945119172358,0.181111497840353,0.871480364676983,6372,1,";11;13;15;1",0,0,FALSE
"2613","TurboCharger","{AGE=InWarranty,USER_CUSTOMISED=N,COUNTRY=Germany}=>{FAULT_TYPE=TurboCharger}",1.669773e-05,0.007578284,5.27494,8404,0.0004739971,0.06254676,409,"*","InWarranty","*","*","N","Germany","*",FALSE,53970,0.007578284,4,103407,164801,134104,1.405209514,1.03076331037117e-07,5.39299223674342,8.41487273075098e-08,38.2835795151902,0.812213972974168,6115,3,-6.46316338825457e-07,-4.95898282548793e-07,-60.7270052019553,0.0625467454109664,-0.133277235661313,0.822026200126572,6373,1,";11;14;15;1",0,0,FALSE
"2618","TurboCharger","{AGE=InWarranty,DEALERSHIP=VWDealer,GEO_TYPE=NormalRural}=>{FAULT_TYPE=TurboCharger}",1.273763e-05,0.01020742,7.104975,8416,0.001168438,0.1144695,312,"*","InWarranty","VWDealer","*","*","*","NormalRural",FALSE,30566,0.01020742,4,113377,164939,139158,1.405209514,1.12119300352788e-07,7.26398440823537,9.68051645793594e-08,41.0814595745458,0.8603271458576,6122,3,-7.87939117854545e-07,-6.73375194365333e-07,-74.108029753194,0.114469474166832,-0.0707327451784761,0.838227975335589,6381,1,";11;12;16;1",0,0,FALSE
"2619","TurboCharger","{AGE=InWarranty,USER_CUSTOMISED=N,GEO_TYPE=NormalRural}=>{FAULT_TYPE=TurboCharger}",1.290094e-05,0.006816221,4.744498,8418,3.591242e-05,0.005268671,316,"*","InWarranty","*","*","N","*","NormalRural",FALSE,46360,0.006816221,4,99959,164137,132048,1.405209514,6.98071345201968e-08,4.85067951226524,5.55209940263501e-08,31.101761066173,0.790726131761826,6123,3,-6.79585535342377e-07,-5.24526015829953e-07,-67.9088236509725,0.00526875522375232,-0.194700137856703,0.80212848145622,6383,1,";11;14;16;1",0,0,FALSE
"2620","TurboCharger","{AGE=InWarranty,DEALERSHIP=Re-Import,COUNTRY=France}=>{FAULT_TYPE=TurboCharger}",5.593127e-06,0.009509266,6.619019,8430,0.0003941303,0.04144698,137,"*","InWarranty","Re-Import","*","*","France","*",FALSE,14407,0.009509266,4,110894,163362,137128,1.405209514,4.53270171413717e-08,6.76715173449929,3.8651657811576e-08,25.9671357727131,0.849419812756685,6125,3,-7.04065652721202e-07,-5.41395352044727e-07,-73.0434489444324,0.0414469423823039,-0.156759478594609,0.871452013225837,6386,1,";11;12;15;1",0,0,FALSE
"2621","TurboCharger","{AGE=InWarranty,MODEL=Opal,USER_CUSTOMISED=N,COUNTRY=France}=>{FAULT_TYPE=TurboCharger}",9.267444e-06,0.01233293,8.584461,21695,0.001589804,0.1289072,227,"Opal","InWarranty","*","*","N","France","*",FALSE,18406,0.01233293,3,119519.5,164876.5,142198,1.405209514,1.01272037651658e-07,8.77657735528255,8.98005870671437e-08,39.5771118201976,0.884174854870658,6126,4,-7.97281313651914e-07,-6.98280103113905e-07,-77.1842993953458,0.128906918307328,-0.0520160099878291,0.900883488351916,6387,1,";10;11;14;15;1",0,0,FALSE
"2622","TurboCharger","{AGE=InWarranty,MODEL=Ultima,COUNTRY=Belgium}=>{FAULT_TYPE=TurboCharger}",7.593589e-06,0.008422387,5.862486,8437,0.001524356,0.1809886,186,"Ultima","InWarranty","*","*","*","Belgium","*",FALSE,22084,0.008422387,4,106646,163731,135188.5,1.405209514,5.32855617687373e-08,5.99368771424359,4.44353422750335e-08,27.8378789319125,0.830172374227073,6128,3,-6.96107108093836e-07,-5.35611667581269e-07,-71.172705785233,0.180988596225749,0.0209869769085551,0.78498375816737,6389,1,";10;11;15;1",0,0,FALSE
"2623","TurboCharger","{AGE=InWarranty,COUNTRY=Spain,GEO_TYPE=Village}=>{FAULT_TYPE=TurboCharger}",4.164226e-06,0.006842423,4.762736,8450,0.0004352803,0.06361494,102,"*","InWarranty","*","*","*","Spain","Village",FALSE,14907,0.006842423,4,99943,161013,130478,1.405209514,2.26417857659518e-08,4.86932584203952,1.80028616410064e-08,17.7217384378375,0.790517756942152,6131,3,-7.26750884096622e-07,-5.62044148215296e-07,-81.288846279308,0.0636148919761319,-0.132060853511006,0.818397225661144,6393,1,";11;15;16;1",0,0,FALSE
"2624","TurboCharger","{AGE=InWarranty,MODEL=Lamura,USER_CUSTOMISED=N,COUNTRY=Spain}=>{FAULT_TYPE=TurboCharger}",5.021567e-06,0.01326718,9.23475,21778,0.002094273,0.1578537,123,"Lamura","InWarranty","*","*","N","Spain","*",FALSE,9271,0.01326718,3,121633.5,164069.5,142851.5,1.405209514,5.95656795474716e-08,9.44142483225459,5.32768823535334e-08,30.4898256437154,0.89205099923705,6132,4,-6.89826990315102e-07,-5.26770127502769e-07,-68.5207590734301,0.157854193581454,-0.0125541948759298,0.898340415973854,6394,1,";10;11;14;15;1",0,0,FALSE
"2625","TurboCharger","{AGE=InWarranty,USER_CUSTOMISED=N,COUNTRY=Spain}=>{FAULT_TYPE=TurboCharger}",1.714681e-05,0.007149545,4.976511,8457,0.000742402,0.1038391,420,"*","InWarranty","*","*","N","Spain","*",FALSE,58745,0.007149545,4,101568,164709,133138.5,1.405209514,9.84970291546997e-08,5.08788542119136,7.9328173943601e-08,37.1672185419444,0.800977001274031,6135,3,-6.50895640707874e-07,-5.00718835912702e-07,-61.8433661752011,0.103839055492343,-0.0841264293241359,0.811353589634026,6398,1,";11;14;15;1",0,0,FALSE
"2628","TurboCharger","{AGE=InWarranty,COUNTRY=Belgium,GEO_TYPE=NormalUrban}=>{FAULT_TYPE=TurboCharger}",8.328452e-06,0.008010366,5.575695,8468,0.001112335,0.138862,204,"*","InWarranty","*","*","*","Belgium","NormalUrban",FALSE,25467,0.008010366,4,105023,163770,134396.5,1.405209514,5.50107287461397e-08,5.70047805696824,4.5407743393781e-08,28.1388805896444,0.821504274000281,6139,3,-6.94381941116434e-07,-5.34639266462522e-07,-70.871704127501,0.138861944635239,-0.0387433911228403,0.808672287882976,6403,1,";11;15;16;1",0,0,FALSE
"2629","TurboCharger","{AGE=InWarranty,DEALERSHIP=Re-Import,COUNTRY=Belgium}=>{FAULT_TYPE=TurboCharger}",7.266983e-06,0.01151433,8.014662,8469,0.002399192,0.2083658,178,"*","InWarranty","Re-Import","*","*","Belgium","*",FALSE,15459,0.01151433,4,117430,164420,140925,1.405209514,7.34628067167137e-08,8.19403077283748,6.45381418678082e-08,33.5535814279682,0.875781400241251,6140,3,-6.7592986314586e-07,-5.15508867988495e-07,-65.4570032891773,0.20836592315836,0.0632116540681196,0.842722068934971,6404,1,";11;12;15;1",0,0,FALSE
"2630","TurboCharger","{AGE=InWarranty,MODEL=Lamura,USER_CUSTOMISED=N,COUNTRY=Belgium}=>{FAULT_TYPE=TurboCharger}",5.103218e-06,0.01370163,9.537157,21828,0.002528729,0.1845567,125,"Lamura","InWarranty","*","*","N","Belgium","*",FALSE,9123,0.01370163,3,122613.5,164167.5,143390.5,1.405209514,6.27513143597239e-08,9.75059581044083,5.63366482413725e-08,31.3532347697683,0.895480475898444,6141,4,-6.8664135550285e-07,-5.2371036161493e-07,-67.6573499473772,0.184556873890187,0.0263301671389182,0.901563828537189,6405,1,";10;11;14;15;1",0,0,FALSE
"2631","TurboCharger","{AGE=InWarranty,MODEL=Opal,USER_CUSTOMISED=N,COUNTRY=Belgium}=>{FAULT_TYPE=TurboCharger}",1.216607e-05,0.01364781,9.499695,21829,0.002904682,0.2128313,298,"Opal","InWarranty","*","*","N","Belgium","*",FALSE,21835,0.01364781,3,122640.5,165256.5,143948.5,1.405209514,1.4894433449471e-07,9.71229547197614,1.3372789264612e-07,48.2931002694612,0.895531767759922,6142,4,-7.49609016808862e-07,-6.54352797534928e-07,-68.4683109460822,0.212831216143836,0.0703767376226094,0.901175646495665,6406,1,";10;11;14;15;1",0,0,FALSE
"2632","TurboCharger","{AGE=InWarranty,DEALERSHIP=VWDealer,COUNTRY=Belgium}=>{FAULT_TYPE=TurboCharger}",1.714681e-05,0.01116843,7.773896,8470,0.002129448,0.1906668,420,"*","InWarranty","VWDealer","*","*","Belgium","*",FALSE,37606,0.01116843,4,116615,165300,140957.5,1.405209514,1.6740808666155e-07,7.94787530879185,1.4656988659919e-07,50.5424720137463,0.872704234328336,6143,3,-7.32650331545783e-07,-6.23610472345503e-07,-64.6470173139936,0.190666727552575,0.0355857098822576,0.837850978158971,6407,1,";11;12;15;1",0,0,FALSE
"2633","TurboCharger","{AGE=InWarranty,CUSTOMER_TYPE=Private,COUNTRY=Belgium}=>{FAULT_TYPE=TurboCharger}",2.184177e-05,0.01222494,8.509289,8472,0.002612886,0.213734,535,"*","InWarranty","*","Private","*","Belgium","*",FALSE,43763,0.01222494,4,119485,165474,142479.5,1.405209514,2.363220647372e-07,8.69972760517475,2.09532181569965e-07,60.4233495924728,0.884060887870817,6144,3,-1.00001428589824e-06,-8.62868563246398e-07,-75.3192177172359,0.213734136936459,0.0718350979682163,0.851864303628484,6408,1,";11;13;15;1",0,0,FALSE
"2634","TurboCharger","{AGE=InWarranty,USER_CUSTOMISED=N,COUNTRY=Belgium}=>{FAULT_TYPE=TurboCharger}",1.735094e-05,0.007186581,5.00229,8473,0.0002885495,0.04015115,425,"*","InWarranty","*","*","N","Belgium","*",FALSE,59138,0.007186581,4,101758,164739,133248.5,1.405209514,1.00312229771297e-07,5.11424163329426,8.0893258029946e-08,37.5317663346876,0.802027950732895,6145,3,-6.49080440091277e-07,-4.99153751826357e-07,-61.4788183824578,0.040151220726518,-0.158166870092949,0.812325777723788,6409,1,";11;14;15;1",0,0,FALSE
"2635","TurboCharger","{AGE=InWarranty,MODEL=Lamura,USER_CUSTOMISED=N,COUNTRY=Switzerland}=>{FAULT_TYPE=TurboCharger}",4.776612e-06,0.01256443,8.745598,21856,0.001391529,0.1107514,117,"Lamura","InWarranty","*","*","N","Switzerland","*",FALSE,9312,0.01256443,3,120053.5,163868.5,141961,1.405209514,5.33032664840734e-08,8.94132147186701,4.73598104178846e-08,28.746842754559,0.885993584370083,6146,4,-6.960894033785e-07,-5.32687199438418e-07,-70.2637419625865,0.110751542250623,-0.0754520781903147,0.892654422047001,6411,1,";10;11;14;15;1",0,0,FALSE
"2637","TurboCharger","{AGE=InWarranty,CUSTOMER_TYPE=Corporate,USER_CUSTOMISED=N}=>{FAULT_TYPE=TurboCharger}",2.535279e-05,0.008587192,5.9772,8505,0.0005495386,0.06399514,621,"*","InWarranty","*","Corporate","N","*","*",FALSE,72317,0.008587192,4,107640,165338,136489,1.405209514,1.82083293751236e-07,6.11096915758571,1.52738079163085e-07,51.5583907597404,0.835163320439237,6148,3,-5.67309376111338e-07,-4.27308930693218e-07,-47.4521939574051,0.0639950754565637,-0.131626973866948,0.842936317250156,6416,1,";11;13;14;1",0,0,FALSE
"2639","TurboCharger","{AGE=InWarranty,DEALERSHIP=Re-Import,GEO_TYPE=NormalUrban}=>{FAULT_TYPE=TurboCharger}",1.498305e-05,0.01321142,9.195938,8511,0.004096283,0.3100562,367,"*","InWarranty","Re-Import","*","*","*","NormalUrban",FALSE,27779,0.01321142,4,121686,165320,143503,1.405209514,1.76893042022262e-07,9.40174391674379,1.58257608062473e-07,52.5295447297541,0.892268260432762,6151,3,-5.72499627840311e-07,-4.2178940179383e-07,-46.4810399873914,0.310056299777011,0.249395640978558,0.883993923438964,6419,1,";11;12;16;1",0,0,FALSE
